id,resourceType,title,description,startDate,endDate,Month,Year,Area/Region,Location,State 1,State 2-?,reference/s,EM-DAT?,Report,Journals,Databases,Websites,Newspaper,Missing data,Evacuated,Affected,Homeless,Injuries,Deaths,Insured Cost,Reported cost,Calls to SES,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Roads,Ports,Environmental,Male death,Female death,Children,Adults,Elderly,url,References,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,Cyclone,Cyclone zoe?,,6/03/1974,13/03/1974,March,1974,Brisbane region,Queensland; New South Wales,Queensland,New South Wales,ICA,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VIC flood?,,,,,1974,,,,,ICA,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flood,,,1/03/1974,30/03/1974,March,1974,South-East Queensland / Northern New South Wales,Queensland; New South Wales,Queensland,New South Wales,wiki; PDF-newspaper; Report,,1,0,0,1,1,2,,10000,1200,5,,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,PDF-newspaper,5,20,,,,,,,,,,,,
66,Flood,Flood - Western Sydney,"On 24 April 1974, severe flash flooding caused heavy damage in Sydney's western suburbs and the Blue Mountains. During this period approximately 200 mm of rain fell.  One person died as a result of the flooding.  The Insurance Council of Australia estimated the 1974 damage at $20 million, with the 2011 normalised cost of $509 million.",24/04/1974,25/04/1974,April,1974,Western Sydney,New South Wales,New South Wales,,EM-Track; ICA; PDF - newspaper; Speer and Geerts (1993),,0,1,2,0,1,,,15000,1000,10,1,20000000,80500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=66,EM-Track,ICA,9,14,31,,,,,,,,,PDF - newspaper,,
,Severe Storm,Severe storm and hail,,2/05/1974,31/05/1974,May,1974,Sydney region,New South Wales,New South Wales,,ICA; wiki; PDF - newspaper,,0,0,1,1,1,,,20000,200,20,6,20000000,98000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,wiki,4,10,,,,,,,,,,,,
87,Bushfire,Bushfire - New South Wales and Other States,"During the summer between 1974 and 1975, Australia experienced its worst bushfire season in 30 years. Approximately 15 per cent of Australia's physical land mass sustained extensive fire damage. This equates to roughly around 117,000,000 ha.  New South Wales was badly affected and there was widespread damage to infrastructure, including communications, roads, railways and property fencing. There was also significant damage to agriculture and horticulture industries, as famers lost crops and livestock to the fires. The areas affected included Cobar Shire, Balranald, Glendale and regions around the Lower Hunter. Three people lost their lives in New South Wales. The overall damage cost was estimated at approximately $5 million.",1/12/1974,1/02/1975,January,1975,New South Wales and Other States,New South Wales,New South Wales,,EM-Track; PDF - newspapers; http://www.rfs.nsw.gov.au/dsp_content.cfm?cat_id=1180,,0,0,1,1,4,2,,10000,,10,3,,5000000,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=87,EM-Track,PDF - newspapers,9,27,,,,,,,,,,,,
,Cyclone,Cyclone Trixie,Tropical cyclone Trixie - Dampier,15/02/1975,22/02/1975,February,1975,Dampier,Western Australia,Western Australia,,wiki; PDF - newspaper; PDF - BoM,,1,0,0,0,1,2,,,80,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,PDF - newspaper,5,22,,,,,,,,,,,,
177,Cyclone,Cyclone Joan,"Tropical Cyclone Joan developed over the Timor sea and was named on 1 December 1975. The system passed close to the northern tip of Western Australia before moving west to south-westerly over the ocean and gradually intensified. Late on the 6th, the cyclone suddenly took a southerly direction and the eye crossed the coast 50 km west of Port Hedland at about 6am on 8 December 1975.  Despite Port Hedland not being in the centre of the storm it was subjected to strong winds exceeding 90 km per hour for approximately 10 hours with winds in excess of 120 km per hour for three hours. The maximum measured wind gust was 208 km per hour. Severe property damage occurred at Port Hedland and other townships nearby. Eighty-five per cent of all houses were damaged to some degree. Power and communications were lost for several days.  Heavy rainfall inland caused flooding. Marandoo, near Tom Price registered 591 mm while many other sites recorded rainfall over 400 mm. The heavy rain occurred along and just east of the cyclone track. Some of the two and three-day totals registered over the Hamersley Range represent in excess of a once in 100 year event.  The Insurance Council of Australia estimated the 1975 damage at $20 million, with the 2011 estimated normalised cost of $398 million.",8/12/1975,9/12/1975,December,1975,Joan Port Headland,Western Australia,Western Australia,,wiki; EM-DAT; EM-Track; PDF newspaper; ICA,7,0,0,3,1,2,,,1000,50,5,,20000000,>$25mil?,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=177,wiki,EM-DAT,5,13,23,38,,,,,,,,EM-Track,PDF newspaper,
328,Flood,Flood - Sydney ,"Severe flooding resulted in damage to the areas of Gosford, Sydney and the Illawarra region.  The Insurance Council of Australia estimated the 1975 damage at $15 million, with the 2012 estimated normalised cost of $339 million.",10/03/1975,11/03/1975,March,1975,Sydney,New South Wales,New South Wales,,EM-DAT; EM-Track; ICA; PDF - newspaper; Rasuli (1996); Armstrong and Colquhoun (1976),1,0,2,3,0,4,,,12000,700,7,1,15000000,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=328,EM-DAT,EM-Track,7,17,22,39,54,,,,,,,ICA,PDF - newspaper,Rasuli (1996)
,Cyclone,Cyclone David,"Large seas combined with high tides caused considerable damage to breakwaters, retaining walls and other structures especially at Rosslyn Bay Harbour (Yeppoon) where the Breakwater was destroyed along with yachts and trawlers. Storm tides flooded houses and shops at Urangan, Noosa and Kirra. Storm surge at Beachmere on Moreton Bay cut all roads into the town. The Port of Brisbane was closed. At wave recording stations the significant wave (peak) height reached 5.8 m (8.9 m) at Double Island Pt and 3.8 m (8.7 m) at Yeppoon. Tides were up to one metre above predicted levels.",13/01/1976,19/01/1976,January,1976,Rockhampton,Queensland,Queensland,,EM-DAT; PDF - newspaper; http://www.bom.gov.au/cyclone/history/david.shtml,1,0,0,1,1,4,2,70,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,PDF - newspaper,7,24,,,,,,,,,,,,
,Cyclone,Cyclone Ted,"95% of buildings damaged on Mornington Is 700 people were made homeless. with similar damage at Burketown. Wind and high tides at Karumba badly damaged wharf and prawn processing installations. An estimated 250,000 head of livestock lost by drowning and low temperatures in Qld.",16/12/1976,21/01/1976,December,1976,Gulf of carpenteria,Queensland; Northern Territory,Queensland,Northern Territory,EM-DAT; Callaghan - cyclone impacts gulf; http://www.bom.gov.au/cyclone/nt/Ted.shtml,1,1,0,1,1,6,2,,6000,1000,2,,,49000000,,,,,,,,,,,,,,,,,,,250000,,,,,,,,,,EM-DAT,Callaghan - cyclone impacts gulf,7,41,,,,,,,,,,,,
,Cyclone,Cyclone Beth,"BethÊcrossed the Queensland coast near and to the north of Bundaberg. The cyclone was very asymmetric with a band of hurricane force winds on the southern flank where it interacted with an intensifying high to the south. Widespread damage occurred in the Maryborough-Bundaberg area with 200 homes unroofed, two aircraft damaged and rainfall up to 200 mm caused flash flooding and cut roads for 18 hours. Heavy swell pounded the south coast and the wave recording station at Double Island Pt. recorded a significant wave (peak) height of 5.4 m (10.0 m)",13/02/1976,22/02/1976,February,1976,Coastal Queensland,Queensland,Queensland,,EM-DAT; PDF - newspaper; PDF - BoM; ICA; http://hardenup.org/be-aware/weather-events/events/1970-1979/cyclone-beth-1976-02-22.aspx,1,1,0,2,1,1,,,,,1,1,3000000,8257000,,,,150,200,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,PDF - newspaper,7,24,35,40,,,,,,,,PDF - BoM,ICA,
,,Cyclone Harry,,15/12/1976,21/12/1976,December,1976,,,,,ICA,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quenreyan flood,,,,October,1976,,,,,ICA; EM-DAT - not cost but number affected,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,,4,,,,,,,,,,,,,
180,Severe Storm,Hail - Toowoomba,"A severe storm caused extreme weather conditions in the Toowoomba region on 9 January 1976. Gale force winds combined with large hail produced widespread damage to infrastructure, buildings and houses.  The Insurance Council of Australia estimated the 1976 damage at $12 million, with the 2011 estimated normalised cost of $282 million.",9/01/1976,9/01/1976,January,1976,Toowoomba,Queensland,Queensland,,EM-Track; ICA; EM-DAT; PDF - newspaper,16,0,0,3,0,3,,,5000,,50,,5000000,12000000,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=180,EM-Track,ICA,9,14,22,,,,,,,,,EM-DAT,,
191,Severe Storm,Severe Storm - Western Sydney,"On 9 November 1976, a severe hailstorm spread across the Sydney metropolitan area, focusing on the western suburbs. Wind gusts reached 96 km per hour and large hailstones ranging between one and 4.4 cm in diameter were recorded. The storm caused extensive damage to homes and vehicles and ten people sustained injuries.  The Insurance Council of Australia estimated the 1976 damage at $40 million, with the 2011 estimated normalised cost of $650 million.",9/11/1976,10/11/1976,November,1976,Western Sydney,New South Wales,New South Wales,,"EM-Track; ICA; EM-DAT; Rasuli (1996) - thesis; wiki; http://www.bom.gov.au/nsw/sevwx/7079summ.shtml; Morgan, BoM (1979) *report requested* $131mil??",16,1,1,3,2,0,,,5000,40,10,,40000000,131000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=191,EM-Track,ICA,9,14,22,46,52,100,,,,,,EM-DAT,Rasuli (1996) - thesis,wiki
,Severe Storm,Severe storm and tornado,,16/11/1976,16/11/1976,November,1976,Sandon; Castlemaine,Victoria,Victoria,,"EM-DAT; Plukkss, BoM (1979); wiki; PDF - newspaper",1,1,0,1,1,3,,,500,20,4,2,10500000,7279000,,,,2,2,,,4,,,,5,2,,,,,,,,,,,,,,,,EM-DAT,"Plukkss, BoM (1979)",7,28,34,,,,,,,,,wiki,,
309,Bushfire,Bushfire - Western Districts and Streatham,"On 12 February 1977, Streatham was partially destroyed by bushfires which spread across western Victoria to the South Australian border. The post office, community hall, and shops were destroyed in the blaze. The fires killed four people and a further seven are believed to have suffered heart attacks.  Other areas that felt the effects of the fire included Penshurst, Tatyoon, Creswick, Pura Pura, Cressy, Beeac, Lismore and Little River. In total, the fires burnt 116 houses, 340 buildings, 103,000 hectares, and close to 200,000 livestock.  The Insurance Council of Australia estimated the 1977 damage at $9 million, with the 2011 estimated normalised cost of $101 million.",12/02/1977,12/02/1977,February,1977,Western Districts and Streatham,Victoria,Victoria,,wiki - 8 deaths; PDF - newspaper - 5 deaths; em-track - 4 deaths; EM-DAT,67,0,0,1,1,4,,,3000,350,60,8,9000000,40000000,,,,,116,,340,,,,,,,,,,,,1000000,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=309,wiki - 8 deaths,PDF - newspaper - 5 deaths,16,44,65,,,,,,,,,em-track - 4 deaths,,
,Bushfire,Bushfire,,10/12/1977,29/12/1977,December,1977,Blue Mountains,New South Wales,New South Wales,,EM-DAT; ICA; wiki; PDF - newspaper,1,0,0,2,1,2,,,,70,,3,3500000,2168000,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,EM-DAT,ICA,7,12,18,,,,,,,,,wiki,,
,Cyclone,Cyclone Otto,Otto moved from the Gulf into the Coral Sea near Cape Tribulation and made landfall again near Bowen. There was no significant wind damage however it severely aggravated already serious floods between Cairns and Ingham which resulted in $6 (1977) million crop and property damage. Heavy seas destroyed 1200m of the esplanade at Machans Beach Cairns. Hay Point also suffered some sea damage. The wave station at Double Island Pt. recorded a significant wave (peak) height of 3.8 m (6.3 m).,6/03/1977,10/03/1977,March,1977,North QLD,Queensland,Queensland,,BoM - report; http://www.bom.gov.au/cyclone/history/otto.shtml; wiki? - check,,1,0,0,1,0,2,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BoM - report,http://www.bom.gov.au/cyclone/history/otto.shtml,13,63,,,,,,,,,,,,
,Flood,Clarence River,,1/03/1977,2/03/1977,March,1977,Clarence River,New South Wales,New South Wales,,EM-DAT; ICA; wiki; Weeks (2007),1,0,1,2,1,0,,,1600,120,5,,7000000,23000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,ICA,7,12,18,,,,,,,,,wiki,,
415,Severe Storm,Severe Storm - Sydney Jan 1977,"On 21 January 1977 severe thunderstorms spread over New South Wales, affecting mainly the Sydney regions of Bankstown and Richmond. Winds reached 124 km per hour and there was one fatality.  The Insurance Council of Australia estimated the 1977 damage at $15 million, with the 2011 estimated normalised cost of $244 million.",21/01/1977,21/01/1977,January,1977,Sydney Tamworth,New South Wales,New South Wales,,EM-Track; EM-DAT; ICA; wiki; PDF - newspaper,11,0,0,3,1,1,,,500,20,4,1,15000000,49000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=415,EM-Track,EM-DAT,9,17,22,28,,,,,,,,ICA,wiki,
,Severe Storm,Storm,,5/02/1977,5/02/1977,February,1977," Tongala, Echuca",Victoria,Victoria,,EM-DAT; ICA; wiki; PDF - newspaper,1,0,0,2,1,1,,500,500,10,3,,4000000,13000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,ICA,7,12,18,,,,,,,,,wiki,,
458,Cyclone,Cyclone Alby,"Tropical Cyclone Alby formed north- west of Port Hedland and was detected on 27 March 1978. The cyclone passed close to the south-west corner of Western Australia on 4 April 1978, killing five people and causing widespread but mostly minor damage to the south-west. Storm surges and large waves caused coastal inundation and erosion from Perth to Busselton, while very strong winds caused fires that burned hectares of forest and farming land. In terms of damage it is estimated that 'Alby' was the most devastating storm on record to affect the south-western areas of Western Australia.  The Insurance Council of Australia estimated the 1978 damage at $13 million, with the 2011 estimated normalised cost of $265 million.",27/03/1978,4/04/1978,March,1978,SW WA,Western Australia,Western Australia,,EM-Track; EM-DAT; ICA; McCready and Hanstrum (1995); http://www.bom.gov.au/cyclone/history/wa/alby.shtml; http://www.abc.net.au/local/stories/2008/04/01/2205348.htm; PDF - newspaper,11,0,1,3,2,1,,,4000,20,10,5,13000000,20000000,,,,,,,,,,,,,,,,,,,,,,,4,1,,5,,http://www.emknowledge.gov.au/resource/?id=458,EM-Track,EM-DAT,9,17,22,52,105,165,,,,,,ICA,McCready and Hanstrum (1995),http://www.bom.gov.au/cyclone/history/wa/alby.shtml
70,Flood,"Flood - Sydney, Newcastle and Wollongong","Flooding in March affected Sydney, Camden, Lismore, Taree and Moruya, resulting in six deaths.  The Hawkesbury River recorded a height of 14.31 m at the Windsor Bridge (NOTE: a new gauge at Windsor Bridge reduced measurements by 30.5 cm). The flooding caused main evacuation routes to be closed and loss of power to Richmond and Windsor including west of the Hawkesbury River. The McGraths Hill sewerage plant was interrupted; electricity cut to Hawkesbury-Nepean Valley's low lying areas, including widespread power blackouts through flood bound areas of the State.   The Insurance Council of Australia estimated the 1978 damage at $15 million, with the 2011 estimated normalised cost of $215 million.",10/03/1978,10/03/1978,March,1978,"Sydney, Newcastle and Wollongong",New South Wales,New South Wales,,EM-Track; EM-DAT; wiki; PDF - newspaper,11,0,0,2,1,4,2,,10000,200,50,6,,15000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=70,EM-Track,EM-DAT,9,17,23,,,,,,,,,wiki,,
,Flood,Flood from cyclone Peter,"Cyclone Peter and Gretel contributed major rains to the region in January. Major to moderate flooding occurred between Tully and Cooktown. The Barron river caused considerable damage to agricultural areas and road and rail bridges in the cairns area. Tully, The Murray and Herbert also suffered extensive damage. A damage estimate was $10mil with 2 deaths attributed to the floods.",1/01/1978,3/01/1978,January,1978,Nothern QLD,Queensland,Queensland,,Oliver (1979); http://www.bom.gov.au/cyclone/history/peter.shtml,,0,1,0,1,0,2,,,,,2,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oliver (1979),,14,,,,,,,,,,,,,
